Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
8c7aefd7-6b05-45de-ac80-d0a46ae98b34,"2020-06-29, 02:53:07 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,86.44.1.157
26db0981-36a7-4312-9b2e-aa8db76848b5,"2020-06-29, 02:53:06 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,86.44.1.157
9d8434f6-d2df-40b5-8ee6-6c1b071a17d0,"2020-06-29, 02:53:06 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,86.44.1.157
b307bedc-0101-4345-b8c6-04e32b382959,"2020-06-29, 02:53:06 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::163596551190:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDASMFY5IQLJMMG2N5AS""}]",,us-east-1,,86.44.1.157
63e04dce-d9ce-42a8-ae59-0ed7dc9e02f5,"2020-06-29, 02:52:33 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,86.44.1.157
0407bae1-9f40-447d-b1a2-aaec479d83aa,"2020-06-29, 02:52:32 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,86.44.1.157
3b43ca18-e3d4-45dd-a964-95b2684f9c6a,"2020-06-29, 02:52:32 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.44.1.157
d4dc843b-74f6-4d81-95d5-9475f1bd93e2,"2020-06-29, 02:52:32 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::163596551190:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDASMFY5IQLNTZ4UEXKT""}]",,us-east-1,,86.44.1.157
9b53c67c-b6bf-4baf-be44-25cef4ab7e3c,"2020-06-29, 02:49:47 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,86.44.1.157
d1ad7fd9-efec-44e9-96c9-7e0720232482,"2020-06-29, 02:49:47 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::163596551190:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPASMFY5IQLNU5I5RFSD""}]",,us-east-1,,86.44.1.157
36e4aa8b-25fe-4381-bf4a-1269cb05224e,"2020-06-29, 02:49:31 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::163596551190:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPASMFY5IQLGW3KA7AVB""}]",,us-east-1,,86.44.1.157
6cf40afa-f2e2-4810-a81f-6a0bc35e7459,"2020-06-29, 02:49:31 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.44.1.157
96e316cf-9e4c-4b02-8f3e-68cb1a186e70,"2020-06-29, 02:49:31 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.44.1.157
85a1b2d9-15ed-48f3-950a-89e54b3e600d,"2020-06-29, 02:47:44 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,86.44.1.157
c168a286-26a7-4b60-907e-a6b1e21ab7ce,"2020-06-29, 02:46:16 PM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
52c3225b-0bc3-42b9-b1cc-14b609b5356b,"2020-06-24, 07:09:12 PM",root,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0457377dadf1f09b9""}]",,eu-west-1,,86.44.1.157
906ebc10-fb68-49c2-9c9c-75889bf0c346,"2020-06-24, 07:09:12 PM",root,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05618aa87a9ec70a1""}]",,eu-west-1,,86.44.1.157
19e80ec7-b91f-4864-8ab0-381be22542c5,"2020-06-24, 07:08:38 PM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
710e2aa9-a437-42e9-b939-27e741413f68,"2020-06-24, 07:00:03 PM",,SharedSnapshotVolumeCreated,,,,eu-west-1,,ec2.amazonaws.com
fcd1066c-f1f0-4ad7-8be9-929881c97913,"2020-06-24, 07:00:01 PM",,SharedSnapshotVolumeCreated,,,,eu-west-1,,ec2.amazonaws.com
46064288-bb3f-452a-9d9e-391754801df0,"2020-06-24, 06:59:58 PM",root,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-031d3edb1bc0a4e05""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-010c1f7bd3c64c1ce""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05618aa87a9ec70a1""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0aa9627a006e72206""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0036ef5d93bb05a03""}]",,eu-west-1,,86.44.1.157
fda12936-b3bc-47fe-a471-bd805ba2529d,"2020-06-24, 06:59:58 PM",root,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-031d3edb1bc0a4e05""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-064a13e6bffa0703c""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0457377dadf1f09b9""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0aa9627a006e72206""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0036ef5d93bb05a03""}]",,eu-west-1,,86.44.1.157
521ab020-55ce-49ea-b756-6fe1d0910d4d,"2020-06-24, 06:59:02 PM",root,RunInstances,EC2 Ami,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""}]",,eu-west-1,Client.VPCIdNotSpecified,86.44.1.157
e8821750-deb8-42f6-8c3d-27ce50c1b880,"2020-06-24, 06:59:02 PM",root,RunInstances,EC2 Ami,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""}]",,eu-west-1,Client.VPCIdNotSpecified,86.44.1.157
88c298cf-bfe4-413f-a2fb-6d095642cbb2,"2020-06-24, 06:56:51 PM",root,RunInstances,EC2 Ami,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""}]",,eu-west-1,Client.VPCIdNotSpecified,86.44.1.157
95051772-8078-4554-bb8a-5b972f3441ba,"2020-06-24, 06:56:51 PM",root,RunInstances,EC2 Ami,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""}]",,eu-west-1,Client.VPCIdNotSpecified,86.44.1.157
4fe54ef9-6ed0-474a-99dd-bb608ff36c6c,"2020-06-24, 10:32:37 AM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
acd3244e-5c06-4ff7-acb3-3d5b8bb8ddce,"2020-06-23, 06:42:18 PM",root,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-04aed6160b60c48b2""}]",,eu-west-1,,86.44.1.157
d1e73bfe-91eb-4209-9beb-3cc835310dea,"2020-06-23, 06:24:26 PM",,SharedSnapshotVolumeCreated,,,,eu-west-1,,ec2.amazonaws.com
1c99ca1e-ab50-47ee-9616-b447fa73da26,"2020-06-23, 06:24:23 PM",root,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-031d3edb1bc0a4e05""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0ea3405d2d2522162""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-04013154b8d71684b""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-04aed6160b60c48b2""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""default""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-0aa9627a006e72206""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0036ef5d93bb05a03""}]",,eu-west-1,,86.44.1.157
5b66d3bf-b1a1-4f20-a4ea-03a9708ae783,"2020-06-23, 06:22:57 PM",root,RunInstances,EC2 Ami and 1 more,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0036ef5d93bb05a03""}]",,eu-west-1,Client.InvalidAMIID.NotFound,86.44.1.157
f6fbe24b-8b44-4bd6-95b8-2fb5182ede17,"2020-06-23, 06:18:06 PM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
57182bd7-220b-4145-96a6-c2009ffd23f6,"2020-06-23, 06:17:52 PM",root,RunInstances,EC2 Ami,"[{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""}]",,eu-west-1,Client.VPCIdNotSpecified,86.44.1.157
15e702cd-17e7-4ad8-9cde-c064c321ea3f,"2020-06-22, 07:59:29 AM",RepeatingFunction,CreateLogStream,,,,eu-west-1,,34.254.188.174
616e1e24-62a7-4ed7-80c9-f5748f97fdab,"2020-06-19, 05:28:55 PM",root,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f9f5ccb449ff9dd6""}]",,eu-west-1,,86.44.1.157
ebf9b032-01dd-41b0-9c96-fa44589aba27,"2020-06-19, 05:28:38 PM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
2e8fa31c-11f2-40b4-a81b-1d3c6ab8272f,"2020-06-18, 11:10:16 PM",root,StopInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f9f5ccb449ff9dd6""}]",,eu-west-1,,86.44.1.157
266cfba4-4193-4cb6-9621-d67876c9e8e5,"2020-06-18, 11:09:42 PM",root,ConsoleLogin,,,,us-east-1,,86.44.1.157
14da686f-5803-4b2a-9a08-6669fe63dae7,"2020-06-18, 07:20:27 PM",,SharedSnapshotVolumeCreated,,,,eu-west-1,,ec2.amazonaws.com
